col,best_row,best,second,confidence,char
0,5,0.018927445635199547,0.0,0.0,
1,10,0.16088327765464783,0.15415020287036896,0.0,
2,20,0.4952681362628937,0.35177865624427795,0.14348948001861572,U
3,4,0.42586749792099,0.22134387493133545,0.20452362298965454,E
4,0,0.0,0.0,0.0,
5,4,0.22082018852233887,0.11067193746566772,0.11014825105667114,E
6,16,0.17391304671764374,0.14229248464107513,0.031620562076568604,Q
7,4,0.35962146520614624,0.02766798436641693,0.3319534808397293,E
8,0,0.0,0.0,0.0,
9,0,0.0,0.0,0.0,
10,0,0.0,0.0,0.0,
11,0,0.0,0.0,0.0,
12,0,0.0,0.0,0.0,
13,0,0.0,0.0,0.0,
14,0,0.0,0.0,0.0,
15,0,0.0,0.0,0.0,
16,0,0.0,0.0,0.0,
17,0,0.0,0.0,0.0,
18,0,0.0,0.0,0.0,
19,0,0.0,0.0,0.0,
