group,x,y,area,selected,char,row_idx,x_local,y_local
0,121.30258302583026,451.43542435424354,271,1,B,1,41.30258302583026,161.43542435424354
0,122.05172413793103,385.5258620689655,116,0,B,1,42.05172413793103,95.52586206896552
1,146.8274647887324,603.7535211267606,284,1,H,7,66.82746478873241,313.7535211267606
2,173.2992700729927,425.8540145985402,274,1,A,0,93.2992700729927,135.85401459854018
3,198.41800643086816,884.3247588424438,311,1,S,18,118.41800643086816,594.3247588424438
3,199.2037037037037,388.76851851851853,108,0,S,18,119.2037037037037,98.76851851851853
4,224.27758007117438,681.4946619217083,281,1,K,10,144.27758007117438,391.49466192170826
5,249.72762645914398,426.2023346303502,257,1,A,0,169.72762645914398,136.2023346303502
6,274.7226277372263,858.1824817518249,274,1,R,17,194.72262773722628,568.1824817518249
6,277.6265060240964,385.6867469879518,83,0,R,17,197.6265060240964,95.68674698795178
7,326.4098939929329,807.0035335689046,283,1,P,15,246.4098939929329,517.0035335689046
8,352.76221498371336,425.54723127035834,307,1,A,0,272.76221498371336,135.54723127035834
9,378.5017667844523,755.4204946996467,283,1,N,13,298.5017667844523,465.4204946996467
10,403.9831081081081,986.2432432432432,296,1,W,22,323.9831081081081,696.2432432432432
11,430.05555555555554,427.47342995169083,414,1,A,0,350.05555555555554,137.47342995169083
12,452.0235294117647,385.52941176470586,85,0,R,17,372.0235294117647,95.52941176470586
12,456.1776504297994,857.4699140401146,349,1,R,17,376.1776504297994,567.4699140401146
