col,best_row,best,second,confidence,char
0,23,0.034700315445661545,0.0,0.0,
1,4,0.5709779262542725,0.197628453373909,0.37334947288036346,E
2,20,0.539432168006897,0.23320157825946808,0.3062305897474289,U
3,4,0.5205047130584717,0.2292490154504776,0.2912556976079941,E
4,11,0.2806324064731598,0.2134387344121933,0.06719367206096649,L
5,0,0.0,0.0,0.0,
6,0,0.0,0.0,0.0,
7,0,0.0,0.0,0.0,
8,0,0.0,0.0,0.0,
9,0,0.0,0.0,0.0,
10,0,0.0,0.0,0.0,
11,0,0.0,0.0,0.0,
12,0,0.0,0.0,0.0,
13,0,0.0,0.0,0.0,
14,0,0.0,0.0,0.0,
15,0,0.0,0.0,0.0,
16,0,0.0,0.0,0.0,
17,0,0.0,0.0,0.0,
18,0,0.0,0.0,0.0,
19,0,0.0,0.0,0.0,
