col,best_row,best,second,confidence,char
0,13,0.39920949935913086,0.12302839010953903,0.2761811092495918,N
1,8,0.15019762516021729,0.13564668595790863,0.0,
2,10,0.39920949935913086,0.07886435091495514,0.3203451484441757,K
3,23,0.4426877498626709,0.14826498925685883,0.2944227606058121,X
4,19,0.8774703741073608,0.23659305274486542,0.6408773213624954,T
5,21,0.7786561250686646,0.05678233504295349,0.7218737900257111,V
6,3,0.13564668595790863,0.10725551843643188,0.0,
7,19,0.17786560952663422,0.17391304671764374,0.0,
8,0,0.0,0.0,0.0,
9,0,0.0,0.0,0.0,
10,0,0.0,0.0,0.0,
11,0,0.0,0.0,0.0,
12,0,0.0,0.0,0.0,
13,0,0.0,0.0,0.0,
14,0,0.0,0.0,0.0,
15,0,0.0,0.0,0.0,
16,0,0.0,0.0,0.0,
17,0,0.0,0.0,0.0,
18,0,0.0,0.0,0.0,
19,0,0.0,0.0,0.0,
