group,x,y,area,selected,char,row_idx,x_local,y_local
0,111.53107344632768,376.0508474576271,177,0,K,10,31.53107344632768,88.05084745762713
0,114.49855072463768,670.0869565217391,345,1,K,10,34.49855072463768,382.0869565217391
1,140.04424778761063,519.2330383480826,339,1,E,4,60.04424778761063,231.23303834808257
1,140.74556213017752,376.5325443786982,169,0,E,4,60.74556213017752,88.53254437869822
2,166.71641791044777,595.7910447761194,402,1,H,7,86.71641791044777,307.7910447761194
2,167.7925925925926,376.3407407407407,135,0,H,7,87.7925925925926,88.34074074074073
3,189.5388888888889,375.6277777777778,180,0,H,7,109.53888888888889,87.6277777777778
3,192.44475920679886,596.0934844192634,353,1,H,7,112.44475920679886,308.0934844192634
4,218.75,419.6907894736842,456,1,A,0,138.75,131.69078947368422
4,223.5175879396985,375.53768844221105,199,0,A,0,143.5175879396985,87.53768844221105
5,244.22955145118735,947.2796833773087,379,1,V,21,164.22955145118735,659.2796833773087
5,251.35042735042734,377.1538461538462,117,0,V,21,171.35042735042734,89.15384615384619
6,294.455764075067,847.455764075067,373,1,R,17,214.455764075067,559.455764075067
6,296.82926829268297,373.2487804878049,205,0,R,17,216.82926829268297,85.24878048780488
7,319.878612716763,419.5578034682081,346,1,A,0,239.87861271676297,131.55780346820808
7,322.0826086956522,375.1086956521739,230,0,A,0,242.0826086956522,87.10869565217388
8,345.8299492385787,896.5862944162436,394,1,T,19,265.8299492385787,608.5862944162436
8,349.4299065420561,372.2897196261682,107,0,T,19,269.4299065420561,84.28971962616822
9,372.8806366047745,595.0901856763926,377,1,H,7,292.8806366047745,307.0901856763926
9,376.0365853658537,376.5243902439024,164,0,H,7,296.0365853658537,88.52439024390242
10,395.85087719298247,771.5116959064328,342,1,O,14,315.85087719298247,483.5116959064328
10,398.38461538461536,374.45384615384614,130,0,O,14,318.38461538461536,86.45384615384614
11,422.2122905027933,845.9162011173185,358,1,R,17,342.2122905027933,557.9162011173185
11,427.0199004975124,375.54228855721396,201,0,R,17,347.0199004975124,87.54228855721396
12,445.8881578947368,376.2763157894737,152,0,E,4,365.8881578947368,88.2763157894737
12,447.81081081081084,521.0909090909091,407,1,E,4,367.81081081081084,233.09090909090912
