group,x,y,area,selected,char,row_idx,x_local,y_local
0,122.93154761904762,426.3392857142857,336,1,A,0,42.93154761904762,136.33928571428572
1,148.03684210526316,425.4921052631579,380,1,A,0,68.03684210526316,135.4921052631579
2,174.30867346938777,477.8086734693877,392,1,C,2,94.30867346938777,187.8086734693877
3,200.48695652173913,604.0956521739131,345,1,H,7,120.48695652173913,314.0956521739131
4,224.16981132075472,730.622641509434,318,1,M,12,144.16981132075472,440.62264150943395
5,251.34903047091413,425.4819944598338,361,1,A,0,171.34903047091413,135.4819944598338
6,275.279702970297,757.5420792079208,404,1,N,13,195.27970297029702,467.5420792079208
