group,x,y,area,selected,char,row_idx,x_local,y_local
0,125.64620938628158,582.6895306859205,277,1,G,6,45.64620938628158,292.68953068592054
1,151.26428571428573,937.4785714285714,280,1,U,20,71.26428571428573,647.4785714285714
2,176.84790874524714,760.4790874524715,263,1,N,13,96.84790874524714,470.4790874524715
3,202.11042944785277,633.4110429447853,326,1,I,8,122.11042944785277,343.4110429447853
3,207.04545454545456,395.47727272727275,88,0,I,8,127.04545454545456,105.47727272727275
4,227.6243093922652,912.5828729281768,362,1,T,19,147.6243093922652,622.5828729281768
5,279.5030487804878,887.439024390244,328,1,S,18,199.5030487804878,597.439024390244
6,305.1675977653631,634.7234636871508,358,1,I,8,225.1675977653631,344.7234636871508
6,308.57575757575756,400.8787878787879,99,0,I,8,228.57575757575756,110.87878787878788
7,330.7547683923706,760.9318801089919,367,1,N,13,250.75476839237058,470.9318801089919
7,340.6951219512195,392.6219512195122,82,0,N,13,260.6951219512195,102.6219512195122
8,356.79335793357933,581.9815498154982,271,1,G,6,276.79335793357933,291.98154981549817
8,358.025,397.1625,80,0,G,6,278.025,107.16250000000002
9,381.23765432098764,609.0246913580247,324,1,H,7,301.23765432098764,319.0246913580247
10,406.0,610.3780487804878,82,1,H,7,326.0,320.3780487804878
